Designator,Mid X,Mid Y,Rotation,Layer
C1,133.591248,-73.0,270.0,top
C10,138.375,-88.1675,0.0,top
C11,129.25,-90.0,270.0,top
C12,129.25,-93.5,270.0,top
C13,130.5,-98.5,270.0,top
C2,186.5,-86.0,270.0,top
C3,162.5,-89.65,90.0,top
C4,165.0,-89.65,90.0,top
C5,177.0,-89.65,90.0,top
C6,179.5,-89.65,90.0,top
C7,176.0,-97.5,0.0,top
C8,178.25,-102.5,180.0,top
C9,138.375,-91.1675,0.0,top
D1,189.25,-109.0625,270.0,top
F1,125.2,-57.0,0.0,top
FL1,145.574372,-73.0,270.0,top
J1,114.0,-73.0,90.0,top
J2,145.5,-125.375,270.0,top
J3,114.0,-109.31,90.0,top
JP1,151.75,-109.265,180.0,top
PS1,172.0,-70.0,0.0,top
Q1,150.4375,-98.0,0.0,top
Q2,150.4375,-93.25,0.0,top
Q3,141.675,-112.4375,270.0,top
Q4,146.675,-112.4375,270.0,top
R1,189.25,-113.0875,90.0,top
R10,123.5,-89.0,0.0,top
R11,123.5,-93.32,0.0,top
R12,128.0,-98.5,90.0,top
R13,123.5,-112.1625,90.0,top
R14,123.5,-108.6625,90.0,top
R15,123.5,-105.075,90.0,top
R16,123.5,-101.4125,90.0,top
R17,155.0,-98.0,90.0,top
R18,146.0,-97.9125,270.0,top
R19,155.0,-93.25,90.0,top
R2,158.25,-108.75,180.0,top
R20,146.0,-93.25,270.0,top
R21,144.225,-117.0,0.0,top
R22,144.225,-107.875,180.0,top
R3,183.75,-113.1875,180.0,top
R4,158.25,-112.75,0.0,top
R5,183.8375,-109.1875,180.0,top
R6,110.5,-91.16,270.0,bottom
R7,117.5,-91.16,270.0,bottom
R8,110.5,-91.16,270.0,top
R9,117.5,-91.16,270.0,top
RV1,124.808124,-73.0,270.0,top
SW1,186.0,-118.5625,0.0,top
U1,171.0,-89.65,180.0,top
U2,171.0,-117.25,180.0,top
U3,138.375,-95.6675,270.0,top
